City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,holualoa,19.6228,-155.9522,27.53,71,40,3.09,US,1696537623
132,rikaze,29.25,88.8833,11.15,55,27,1.45,CN,1696537623
133,nuku'alofa,-21.1333,-175.2,22.19,64,20,5.14,TO,1696537623
134,port mathurin,-19.6833,63.4167,22.65,82,99,9.57,MU,1696537623
135,bel ombre,-4.6167,55.4167,27.91,74,20,6.17,SC,1696537623
136,homer,59.6425,-151.5483,10.94,62,100,3.09,US,1696537623
137,tazovsky,67.4667,78.7,7.12,97,100,7.45,RU,1696537623
138,whitehorse,60.7161,-135.0538,1.56,86,100,9.77,CA,1696537623
139,nyurba,63.2842,118.3319,-1.65,77,13,3.58,RU,1696537623
140,mahina,-17.5065,-149.489,28.87,58,20,10.29,PF,1696537623
141,west island,-12.1568,96.8225,24.99,83,40,5.14,CC,1696537624
142,fada,9.5667,8.3,21.58,93,94,1.23,NG,1696537624
143,coronel suarez,-37.4547,-61.9334,21.58,19,58,9.39,AR,1696537624
144,magdagachi,53.45,125.8,1.14,62,0,3.88,RU,1696537625
145,betio village,1.358,172.9211,28.02,74,100,1.82,KI,1696537625
146,dubove,48.1721,23.8895,10.7,71,98,0.13,UA,1696537625
147,iskateley,67.6803,53.1512,3.9,78,53,9.39,RU,1696537423
148,nagqu,31.5,92.0,2.02,71,48,0.64,CN,1696537625
149,puerto aysen,-45.4,-72.7,6.98,98,100,3.08,CL,1696537625
150,ponta delgada,37.7333,-25.6667,23.4,94,40,7.2,PT,1696537626
151,roma,43.2128,-75.4557,28.08,38,0,4.63,US,1696537625
152,hadibu,12.65,54.0333,27.33,72,100,2.42,YE,1696537626
153,okhotsk,59.3833,143.3,4.51,91,100,0.59,RU,1696537413
154,tangalle,6.024,80.7911,24.38,91,100,3.19,LK,1696537626
155,shingu,33.7333,135.9833,14.61,72,100,2.87,JP,1696537626
156,papatowai,-46.5619,169.4708,13.15,54,100,3.13,NZ,1696537626
157,forster,-32.1667,152.5167,7.94,84,0,3.65,AU,1696537626
158,sarandi,-23.4436,-51.8739,26.75,78,75,5.66,BR,1696537626
159,coahuayana de hidalgo,18.7,-103.6583,32.28,66,74,3.47,MX,1696537626
160,matola,-25.9622,32.4589,21.97,83,0,3.6,MZ,1696537627
161,kadugli,11.0167,29.7167,26.61,62,40,0.93,SD,1696537627
162,hammerfest,70.6634,23.6821,2.25,87,100,6.69,NO,1696537627
163,anyksciai,55.5256,25.1026,9.13,81,100,10.3,LT,1696537627
164,goure,13.9835,10.2704,33.22,27,86,7.3,NE,1696537627
165,embi,48.8264,58.1442,14.13,48,100,1.5,KZ,1696537627
166,tolanaro,-25.0319,46.9987,23.04,73,0,8.23,MG,1696537627
167,villa ocampo,-28.4875,-59.3551,24.34,29,0,4.74,AR,1696537627
168,selkirk,50.1436,-96.8845,11.19,83,100,1.79,CA,1696537627
169,coquimbo,-29.9533,-71.3436,15.85,63,40,5.66,CL,1696537620
170,stjordalshalsen,63.4681,10.9262,5.51,93,75,3.6,NO,1696537565
171,biltine,14.5333,20.9167,32.9,24,20,2.43,TD,1696537628
172,buckeye,33.3703,-112.5838,37.44,12,0,4.63,US,1696537628
173,katabu,-4.9333,122.5167,22.45,94,4,1.87,ID,1696537628
174,copala,16.65,-98.9833,29.97,73,42,3.28,MX,1696537628
175,boca do acre,-8.7522,-67.3978,33.9,39,95,1.24,BR,1696537628
176,ciudad lazaro cardenas,17.9583,-102.2,30.94,66,43,4.1,MX,1696537628
177,miyako,39.6367,141.9525,14.16,65,8,8.29,JP,1696537628
178,boca suno,-0.7167,-77.1333,34.77,40,100,1.2,EC,1696537629
179,lihue,21.9789,-159.3672,29.3,68,40,4.63,US,1696537629
180,codrington,-38.2667,141.9667,8.54,66,41,4.65,AU,1696537629
181,richards bay,-28.783,32.0377,22.89,63,0,3.79,ZA,1696537629
182,dudinka,69.4058,86.1778,0.9,92,100,8.49,RU,1696537629
183,nuuk,64.1835,-51.7216,4.34,60,75,7.72,GL,1696537629
184,crane,31.3974,-102.3501,25.73,38,1,4.72,US,1696537629
185,palmer,42.1584,-72.3287,26.05,47,20,4.63,US,1696537629
186,hunstanton,52.95,0.5,15.06,79,100,2.24,GB,1696537629
187,porto velho,-8.7619,-63.9039,35.03,46,40,1.54,BR,1696537615
188,bikin,46.8161,134.26,5.42,89,100,3.57,RU,1696537630
189,ilulissat,69.2167,-51.1,-0.99,55,20,8.75,GL,1696537630
190,cromwell,41.5951,-72.6454,26.4,63,0,4.12,US,1696537630
191,buala,-8.145,159.5921,26.38,81,14,3.04,SB,1696537630
192,port saint john's,-31.6229,29.5448,21.29,87,94,5.33,ZA,1696537630
193,portland,45.5234,-122.6762,25.55,67,0,2.24,US,1696537496
194,pudozh,61.8099,36.5345,7.19,92,100,4.92,RU,1696537630
195,gadzhiyevo,69.2551,33.3362,0.86,73,38,9.81,RU,1696537630
